"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
162,1,1,35528.8342734205,0.117334523572466,4168.75884255688
163,1,1,38862.7245618032,0.0930853030153412,3617.54849183719
164,1,1,34241.2186404996,0.0914574613594696,3131.61493071464
165,1,1,31849.4590886644,0.0736232511088271,2344.86072416505
166,1,1,35978.3643391098,0.0949497554632868,3416.13689596751
167,1,1,36663.6855785491,0.111554866732881,4090.01255865131
168,1,1,31388.6384418878,0.101543485683803,3187.31175825791
169,1,1,30248.5283761217,0.0660726101673424,1998.59922353129
170,1,1,33220.5406739365,0.0823726626343826,2736.46438946596
171,1,1,38799.6373262517,0.0924621261781141,3587.49696212495
172,1,1,33302.8515405231,0.0693986720316658,2311.17367178002
173,1,1,31501.451982998,0.0813667793118179,2563.17169150243
174,1,1,33448.3505851089,0.0875781643922651,2929.34514619278
175,1,1,36171.3500011717,0.0949493011691591,3434.44440495632
176,1,1,31450.6233964545,0.0925585672804162,2911.02464165177
177,1,1,28322.8454164388,0.0637238290338418,1804.84015906908
178,1,1,31570.0566372882,0.0903608751163137,2852.69794521695
179,1,1,35136.3566295111,0.0742494610675841,2608.85554361963
180,1,1,33172.2072043018,0.0670692538630537,2224.83518618313
181,1,1,32890.8682873757,0.0650939305765,2140.99589689924
182,1,1,32968.6571088004,0.0689903313191498,2274.51857708358
183,1,1,37257.4942623734,0.0708856451059078,2641.021515818
184,1,1,38851.6379529246,0.0771104992972865,2995.86920106743
185,1,1,36454.7414560064,0.0720379113432799,2626.12343304998
186,1,1,41193.055911327,0.0597976421444545,2463.24761622204
187,1,1,44925.1682676824,0.0639415532589387,2872.5850394548
188,1,1,46353.1093347937,0.0699545286279591,3242.60991395574
189,1,1,41135.722056354,0.0682719763646741,2808.4170439752
190,1,1,48905.8643449003,0.068176961262413,3334.2532189471
191,1,1,53301.378560052,0.0700249312811441,3732.42537085789
192,1,1,49287.6206488686,0.0632277023261239,3116.34300674958
193,1,1,48928.5156679551,0.0732477442503446,3583.90340219535
194,1,1,52638.6653904656,0.0654149439782177,3443.35534760545
195,1,1,56719.6589956656,0.0709333338522209,4023.31450752367
196,1,1,51447.2864145739,0.0714145455183321,3674.08457744826
197,1,1,45550.1684978883,0.0691371410238412,3149.20842309824
198,1,1,50499.5133634682,0.0794206620309082,4010.70478356535
199,1,1,57585.5221469676,0.0675736618989601,3891.26460383426
200,1,1,54206.6617948364,0.0697837904121217,3782.74632563163
201,1,1,50470.9351566257,0.0848007623388323,4279.97377723563
202,1,1,50737.6102660108,0.0750286926022902,3806.77656402333
203,1,1,55222.5931314327,0.0807104759470882,4457.04177467033
204,1,1,46920.1685074967,0.0803533109425055,3770.19088955763
205,1,1,45465.3227543862,0.0743879647705793,3382.0728273363
206,1,1,45620.4083233167,0.0968844359033523,4419.90752608514
207,1,1,44086.300460577,0.0726917429071934,3204.71001880954
208,1,1,37486.0742861035,0.0900774102687188,3376.64849283301
209,1,1,32239.3564561505,0.0666595824296639,2149.06203916808
210,1,1,33798.3149886912,0.0738684658130266,2496.62967528004
211,1,1,37314.0635768413,0.0825824964751549,3081.4885238082
212,1,1,33053.8764437329,0.0761965233207003,2518.59046728444
213,1,1,31741.3283807456,0.0653677666212551,2074.85974584119
214,1,1,34617.8294561102,0.114887804155331,3977.16641083623
215,1,1,35282.1827939121,0.0661957301310122,2335.52985065885
216,1,1,34591.4767536988,0.0960504022043817,3322.52525503629
217,1,1,31210.9710313759,0.0870769068019544,2717.75481569762
