"Data.Year","X1","X17","X0","X0.1","Data.n","X0.2","X10","X15","X20","X25","X30","X35","X40","X45","X50","X55","X60","X65","X70","X75","X80","X85","X90","X95","X100","X105","X110","X115","X120","X125","X130","X135","X140","X145","X150","X155","X160","X165","X170","X175","X180","X185","X190","X195"
57,1,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0.25,0.6,0.6,0.25,0.85,0.2,0,0.4,0.2,0,0,0.45,0.2,1,0.2,0.6,0.2,0.4,0.2,0,0.4,0,0,0,0,0,0,0,0
58,1,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,1.05,0.4,0,0.2,0.4,0.2,0,0.4,0.4,0.4,0.25,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0
59,1,17,0,0,5,0,0,0,0,0,0,0.2,0,0,0,0.2,0.6,0,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0,0.4,0,0.4,0,0,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,0
60,1,17,0,0,7,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0.2,0.4,0.6,0.2,0.2,0,0.6,0.6,0.8,0,0.6,0.2,0.6,0.2,0.2,0.6,0.2,0,0,0,0,0,0,0
61,1,17,0,0,7,0,0,0,0,0,0,0,0,0.2,0.4,0,0.6,0,0,0,0.6,0,0.2,0.6,0.2,0.2,0.8,0.4,0.4,0.6,0,0.4,0,0.2,0.2,0,0,0,0,0,0,0,0,0
62,1,17,0,0,5,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0.4,0.2,0,0.2,0.2,0.4,0.2,0,0.2,0.6,0.2,0.6,0.4,0.2,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0
63,1,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.45,0,0.2,0.2,0.2,0,0.2,0,0.2,0.2,0.7,0,0.4,0.45,0.2,0.2,0,0,0,0,0,0,0,0
64,1,17,0,0,5,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.2,0,0,0.4,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.6,0.2,0,0.4,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0
65,1,17,0,0,7,0,0,0,0,0,0,0,0.2,0,0,0.4,0.4,0.2,0.2,0,0.2,0,0.2,0.4,0,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0
66,1,17,0,0,7,0,0,0,0,0,0,0,0,0,0.2,0.4,0.9,0,0,0.45,0,0.2,0,0.4,0.4,0.85,0.4,0.2,0.2,0.2,0.2,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0
67,1,17,0,0,2,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0.6,0,0.2,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0
68,1,17,0,0,5,0,0,0,0,0,0,0,0.2,0,0,0.4,0.6,0,0,0.2,0.2,0.4,0.6,0,0.45,0,0.2,0.2,0.6,0.25,0.2,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0
69,1,17,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.533333333333333,0.4,0.4,0.4,0.2,0.2,0.8,0.4,0.8,0.6,0.333333333333333,1.2,1.33333333333333,0.6,0.4,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0
70,1,17,0,0,8,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0.25,0.2,0,0.2,0,0,0.9,0,1.08333333333333,0.45,0.983333333333333,0.2,0.6,0.6,0.2,0,0.2,0.733333333333333,0.2,0.2,0.4,0,0,0,0,0,0,0
71,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.2,0,0.4,0.2,0.2,0.6,0.2,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
72,1,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.45,0.6,0.2,0.2,0.25,0.4,0,0,0,0,0.45,0.85,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0
73,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0.2,0,0.4,0.8,0,0,0.2,0,0,0,0,0,0,0,0,0
74,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0.2,0,0,0,0.2,0.6,0.2,0.4,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0
75,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.4,0.2,0.2,0.6,0.2,0,0,0,0.2,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0
76,1,17,0,0,5,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0.2,0.4,0.4,0.2,0,0.2,0.2,0.2,0.2,0,0.2,0.8,0,0.4,0.2,0.2,0.2,0.4,0,0,0,0,0,0,0,0,0
77,1,17,0,0,8,0,0,0,0,0,0.2,0,0.2,0,0,0.2,0.4,0,0.4,0.4,0.2,0,0.4,0.2,0.4,0.8,1,0.2,0,0.4,0.2,0.2,0.4,0.2,0,0.4,0.2,0,0,0,0,0,0,0
78,1,17,0,0,6,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0.2,0.2,0,0.2,0,0.4,0,0.4,0.4,0,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,17,0,0,5,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0.2,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0,0.4,0.2,0.2,0.2,0,0.4,0,0.2,0,0,0,0,0,0,0,0
80,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,0,0,0.2,0,0,0.2,0.4,0.2,0.2,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.4,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0
82,1,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0,0,0,0.2,0.2,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
